dataset,source,augmentation_type,augmentation_rate,trial,local_homophily_group,num_nodes_in_group,retained_same_class_edges,retained_cross_class_edges,dropped_same_class_edges,dropped_cross_class_edges,same_class_edge_retention_rate,cross_class_edge_retention_rate,neighbor_label_distribution_js_divergence,neighbor_label_distribution_js_divergence_std,neighbor_label_distribution_l1_distance,local_homophily_change,positive_pair_cosine_similarity,positive_pair_rank,positive_pair_similarity_drop,low_reliability_positive_ratio,positive_nodes_evaluated,embedding_source,labels_posthoc_only
Cora,pyg,edge_drop,0.8,1,medium_homophily,321,828,211,3447,792,0.19368421,0.21036889,0.37924113,0.15964269,0.95041326,-0.034929985,1,1.3514644,-0.91967285,0,321,raw_feature_proxy,True
Cora,pyg,edge_drop,0.8,1,high_homophily,2164,828,211,3447,792,0.19368421,0.21036889,0.27650523,0.24160175,0.58343701,-0.0049195221,1,1.3109296,-0.92132627,0,2164,raw_feature_proxy,True
Cora,pyg,edge_drop,0.8,1,all,2708,828,211,3447,792,0.19368421,0.21036889,0.29490896,0.23326453,0.64481185,-0.0083856239,1,1.316,-0.9214875,0,2708,raw_feature_proxy,True
Cora,pyg,edge_drop,0.1,2,low_homophily,223,3814,917,461,86,0.89216374,0.91425723,0.020031957,0.077891094,0.076697527,-0.0031650615,1,1.2969697,-0.92566425,0,223,raw_feature_proxy,True
Cora,pyg,edge_drop,0.1,2,medium_homophily,321,3814,917,461,86,0.89216374,0.91425723,0.036561523,0.091323868,0.15222341,-0.012024946,1,1.3524229,-0.91967285,0,321,raw_feature_proxy,True
Cora,pyg,edge_drop,0.1,2,high_homophily,2164,3814,917,461,86,0.89216374,0.91425723,0.014609241,0.079344114,0.038889387,1.7738415e-06,1,1.324005,-0.92132627,0,2164,raw_feature_proxy,True
Cora,pyg,edge_drop,0.1,2,all,2708,3814,917,461,86,0.89216374,0.91425723,0.017657966,0.08105111,0.055437185,-0.0017128684,1,1.325,-0.9214875,0,2708,raw_feature_proxy,True
Cora,pyg,edge_drop,0.2,2,low_homophily,223,3454,802,821,201,0.80795322,0.7996012,0.068533393,0.14403497,0.20671076,0.00098219553,1,1.2969697,-0.92566425,0,223,raw_feature_proxy,True
Cora,pyg,edge_drop,0.2,2,medium_homophily,321,3454,802,821,201,0.80795322,0.7996012,0.070057549,0.11537358,0.27488541,0.011806171,1,1.3524229,-0.91967285,0,321,raw_feature_proxy,True
Cora,pyg,edge_drop,0.2,2,high_homophily,2164,3454,802,821,201,0.80795322,0.7996012,0.032031518,0.11432849,0.0841388,0.00041253464,1,1.324005,-0.92132627,0,2164,raw_feature_proxy,True
Cora,pyg,edge_drop,0.2,2,all,2708,3454,802,821,201,0.80795322,0.7996012,0.039544913,0.11813621,0.11684309,0.0018683374,1,1.325,-0.9214875,0,2708,raw_feature_proxy,True
Cora,pyg,edge_drop,0.4,2,low_homophily,223,2562,602,1713,401,0.59929825,0.6001994,0.1495219,0.19823934,0.40422399,-0.0068978372,1,1.2969697,-0.92566425,0,223,raw_feature_proxy,True
Cora,pyg,edge_drop,0.4,2,medium_homophily,321,2562,602,1713,401,0.59929825,0.6001994,0.16859978,0.17214813,0.55467005,0.015286652,1,1.3524229,-0.91967285,0,321,raw_feature_proxy,True
Cora,pyg,edge_drop,0.4,2,high_homophily,2164,2562,602,1713,401,0.59929825,0.6001994,0.080747979,0.17422873,0.19489261,-0.00193188,1,1.324005,-0.92132627,0,2164,raw_feature_proxy,True
Cora,pyg,edge_drop,0.4,2,all,2708,2562,602,1713,401,0.59929825,0.6001994,0.096825162,0.17903231,0.25477794,-0.00013160129,1,1.325,-0.9214875,0,2708,raw_feature_proxy,True
Cora,pyg,edge_drop,0.6,2,low_homophily,223,1722,407,2553,596,0.40280702,0.40578265,0.22502699,0.2211889,0.5667548,0.018615017,1,1.2969697,-0.92566425,0,223,raw_feature_proxy,True
Cora,pyg,edge_drop,0.6,2,medium_homophily,321,1722,407,2553,596,0.40280702,0.40578265,0.26292528,0.1708018,0.77987598,-0.00084973867,1,1.3524229,-0.91967285,0,321,raw_feature_proxy,True
Cora,pyg,edge_drop,0.6,2,high_homophily,2164,1722,407,2553,596,0.40280702,0.40578265,0.14674593,0.21765233,0.33165411,0.00075785116,1,1.324005,-0.92132627,0,2164,raw_feature_proxy,True
Cora,pyg,edge_drop,0.6,2,all,2708,1722,407,2553,596,0.40280702,0.40578265,0.16696389,0.21688449,0.40414549,0.001895245,1,1.325,-0.9214875,0,2708,raw_feature_proxy,True
Cora,pyg,edge_drop,0.8,2,low_homophily,223,862,233,3413,770,0.20163743,0.23230309,0.32453276,0.21136693,0.75663909,-0.014114883,1,1.2969697,-0.92566425,0,223,raw_feature_proxy,True
Cora,pyg,edge_drop,0.8,2,medium_homophily,321,862,233,3413,770,0.20163743,0.23230309,0.37327945,0.16308493,0.93507921,-0.036567971,1,1.3524229,-0.91967285,0,321,raw_feature_proxy,True
Cora,pyg,edge_drop,0.8,2,high_homophily,2164,862,233,3413,770,0.20163743,0.23230309,0.27185579,0.24170401,0.57494852,-0.0019478245,1,1.324005,-0.92132627,0,2164,raw_feature_proxy,True
Cora,pyg,edge_drop,0.8,2,all,2708,862,233,3413,770,0.20163743,0.23230309,0.28821619,0.2338735,0.63259953,-0.0076042157,1,1.325,-0.9214875,0,2708,raw_feature_proxy,True
